FileName,SampleNumber,Gene,Buffer,DataType,Exclude
19214000,1,H2O,Basal,,yes
19214001,1,H2O,50 mM Cl,,yes
19214002,1,H2O,50 mM NO3,,yes
19214006,2,H2O,Basal,,NA
19214007,2,H2O,50 mM Cl,NA,
19214008,2,H2O,50 mM NO3,NA,
19214012,3,H2O,Basal,,
19214013,3,H2O,50 mM Cl,,
19214014,3,H2O,50 mM NO3,,
19214018,4,H2O,Basal,,
19214019,4,H2O,50 mM Cl,,
19214020,4,H2O,50 mM NO3,,
19214024,5,VviNPF2.1,Basal,,
19214025,5,VviNPF2.1,50 mM Cl,,
19214026,5,VviNPF2.1,50 mM NO3,,
19214030,6,VviNPF2.1,Basal,,
19214031,6,VviNPF2.1,50 mM Cl,,
19214032,6,VviNPF2.1,50 mM NO3,,
19214036,7,VviNPF2.1,Basal,,
19214037,7,VviNPF2.1,50 mM Cl,,
19214038,7,VviNPF2.1,50 mM NO3,,
19214042,8,VviNPF2.1,Basal,,
19214043,8,VviNPF2.1,50 mM Cl,,
19214044,8,VviNPF2.1,50 mM NO3,,
19214048,9,VviNPF2.1,Basal,,
19214049,9,VviNPF2.1,50 mM Cl,,
19214050,9,VviNPF2.1,50 mM NO3,,
19214054,10,VviNPF2.1,Basal,,
19214055,10,VviNPF2.1,50 mM Cl,,
19214056,10,VviNPF2.1,50 mM NO3,,
19214060,11,VviNPF2.1,Basal,,
19214061,11,VviNPF2.1,50 mM Cl,,
19214062,11,VviNPF2.1,50 mM NO3,,
19214066,12,VviNPF2.1,Basal,,
19214067,12,VviNPF2.1,50 mM Cl,,
19214068,12,VviNPF2.1,50 mM NO3,,
19214072,13,VviNPF2.1,Basal,,
19214073,13,VviNPF2.1,50 mM Cl,,
19214074,13,VviNPF2.1,50 mM NO3,,
19214078,14,VviNPF2.1,Basal,,
19214079,14,VviNPF2.1,50 mM Cl,,
19214080,14,VviNPF2.1,50 mM NO3,,
19214084,15,H2O,Basal,,
19214085,15,H2O,50 mM Cl,,
19214086,15,H2O,50 mM NO3,,
19214090,16,H2O,Basal,,
19214091,16,H2O,50 mM Cl,,
19214092,16,H2O,50 mM NO3,,
19214096,17,H2O,Basal,,
19214097,17,H2O,50 mM Cl,,
19214098,17,H2O,50 mM NO3,,
19214102,18,VviNPF2.2,Basal,,
19214103,18,VviNPF2.2,50 mM Cl,,
19214104,18,VviNPF2.2,50 mM NO3,,
19214108,19,VviNPF2.2,Basal,,
19214109,19,VviNPF2.2,50 mM Cl,,
19214110,19,VviNPF2.2,50 mM NO3,,
19214114,20,VviNPF2.2,Basal,,
19214115,20,VviNPF2.2,50 mM Cl,,
19214116,20,VviNPF2.2,50 mM NO3,,
19214120,21,VviNPF2.2,Basal,,
19214121,21,VviNPF2.2,50 mM Cl,,
19214122,21,VviNPF2.2,50 mM NO3,,
19214126,22,VviNPF2.2,Basal,,
19214127,22,VviNPF2.2,50 mM Cl,,
19214128,22,VviNPF2.2,50 mM NO3,,
19214132,23,VviNPF2.2,Basal,,
19214133,23,VviNPF2.2,50 mM Cl,,
19214134,23,VviNPF2.2,50 mM NO3,,
19214138,24,VviNPF2.2,Basal,,
19214139,24,VviNPF2.2,50 mM Cl,,
19214140,24,VviNPF2.2,50 mM NO3,,
19214144,25,VviNPF2.2,Basal,,
19214145,25,VviNPF2.2,50 mM Cl,,
19214146,25,VviNPF2.2,50 mM NO3,,
19214150,26,VviNPF2.2,Basal,,
19214151,26,VviNPF2.2,50 mM Cl,,
19214152,26,VviNPF2.2,50 mM NO3,,
19214156,27,VviNPF2.2,Basal,,
19214157,27,VviNPF2.2,50 mM Cl,,
19214158,27,VviNPF2.2,50 mM NO3,,
19214162,28,H2O,Basal,,
19214163,28,H2O,50 mM Cl,,
19214164,28,H2O,50 mM NO3,,
19214168,29,H2O,Basal,,
19214169,29,H2O,50 mM Cl,,
19214170,29,H2O,50 mM NO3,,
19214174,30,H2O,Basal,,
19214175,30,H2O,50 mM Cl,,
19214176,30,H2O,50 mM NO3,,
19214180,31,H2O,Basal,,
19214181,31,H2O,50 mM Cl,,
19214182,31,H2O,50 mM NO3,,
